Site,Image Count,Histogram Bin,Vis 1.0,Vis 2.0,Vis 3.0,Vis 4.0,Vis 5.0,Vis 6.0,Vis 7.0,Vis 8.0,Vis 9.0,Vis 10.0
SITE336,16,0-25,0,0,1,1,8,2,4,0,0,0
SITE338,12,0-25,0,0,0,2,0,2,8,0,0,0
SITE339,16,0-25,0,0,3,1,3,7,2,0,0,0
SITE340,21,0-25,0,0,2,2,7,7,3,0,0,0
SITE341,3,0-25,0,0,0,0,1,2,0,0,0,0
SITE343,24,0-25,0,0,3,2,4,15,0,0,0,0
SITE345,9,0-25,0,0,1,1,1,3,3,0,0,0
SITE349,1,0-25,0,0,0,0,0,1,0,0,0,0
SITE352,10,0-25,0,0,4,1,2,3,0,0,0,0
SITE353,13,0-25,0,0,0,2,3,8,0,0,0,0
SITE355,13,0-25,0,0,1,0,1,11,0,0,0,0
SITE358,25,0-25,0,0,2,0,8,10,5,0,0,0
SITE36,12,0-25,0,0,0,8,0,4,0,0,0,0
SITE360,10,0-25,0,0,5,2,0,0,3,0,0,0
SITE361,11,0-25,0,0,4,1,2,2,2,0,0,0
SITE362,11,0-25,0,0,3,3,0,3,2,0,0,0
SITE363,17,0-25,0,0,3,0,3,4,7,0,0,0
SITE365,5,0-25,0,0,0,0,0,3,2,0,0,0
SITE366,16,0-25,0,0,5,1,2,5,3,0,0,0
SITE367,7,0-25,0,0,2,0,1,4,0,0,0,0
SITE371,7,0-25,0,0,2,0,2,1,2,0,0,0
SITE375,6,0-25,0,0,1,1,1,3,0,0,0,0
SITE376,8,0-25,0,0,0,0,3,4,1,0,0,0
SITE377,12,0-25,0,0,1,1,5,2,3,0,0,0
SITE380,13,0-25,0,0,1,2,2,6,2,0,0,0
SITE383,8,0-25,0,0,0,2,1,4,1,0,0,0
SITE385,10,0-25,0,0,1,0,1,4,4,0,0,0
SITE386,14,0-25,0,0,0,0,2,3,9,0,0,0
SITE388,18,0-25,0,0,1,4,2,8,3,0,0,0
SITE389,22,0-25,0,0,4,2,4,10,2,0,0,0
SITE394,5,0-25,0,0,2,0,0,3,0,0,0,0
SITE397,11,0-25,0,0,0,2,6,3,0,0,0,0
SITE399,8,0-25,0,0,2,0,0,4,2,0,0,0
SITE4,24,0-25,0,0,0,4,8,4,8,0,0,0
SITE40,47,26-50,0,0,13,11,8,13,2,0,0,0
SITE401,17,0-25,0,0,2,0,7,8,0,0,0,0
SITE404,7,0-25,0,0,6,0,0,1,0,0,0,0
SITE405,15,0-25,0,0,3,3,5,1,3,0,0,0
SITE406,35,26-50,0,0,10,7,6,5,7,0,0,0
SITE407,8,0-25,0,0,3,0,4,1,0,0,0,0
SITE41,85,76-100,0,0,7,26,17,19,16,0,0,0
SITE411,123,101-150,0,0,26,14,10,10,63,0,0,0
SITE417,68,51-75,0,0,12,12,23,8,13,0,0,0
SITE418,4,0-25,0,0,0,0,4,0,0,0,0,0
SITE42,8,0-25,0,0,0,1,7,0,0,0,0,0
SITE420,48,26-50,0,0,11,8,3,11,15,0,0,0
SITE421,13,0-25,0,0,2,4,4,3,0,0,0,0
SITE422,32,26-50,0,0,11,9,4,4,4,0,0,0
SITE424,5,0-25,0,0,0,0,0,3,2,0,0,0
SITE426,27,26-50,0,0,3,0,6,18,0,0,0,0
SITE43,46,26-50,0,0,8,11,8,8,11,0,0,0
SITE430,5,0-25,0,0,0,0,0,5,0,0,0,0
SITE431,3,0-25,0,0,1,2,0,0,0,0,0,0
SITE434,31,26-50,0,0,0,12,7,4,8,0,0,0
SITE435,12,0-25,0,0,0,4,4,4,0,0,0,0
SITE437,34,26-50,0,0,4,5,8,14,3,0,0,0
SITE438,37,26-50,0,0,9,8,4,8,8,0,0,0
SITE439,33,26-50,0,0,0,14,11,4,4,0,0,0
